ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
1,0.06,0.24,0.23,0.32,38,42,Acetone 1 ppm
2,0.06,0.24,0.23,0.31,38,42,Acetone 1 ppm
3,0.06,0.24,0.23,0.3,38,42,Acetone 1 ppm
4,0.06,0.24,0.23,0.29,38,42,Acetone 1 ppm
5,0.05,0.24,0.23,0.28,38,42,Acetone 1 ppm
6,0.05,0.23,0.23,0.28,38,42,Acetone 1 ppm
7,0.05,0.23,0.23,0.28,38,42,Acetone 1 ppm
8,0.06,0.23,0.23,0.28,38,42,Acetone 1 ppm
9,0.06,0.22,0.23,0.28,38,42,Acetone 1 ppm
10,0.06,0.22,0.23,0.27,38,42,Acetone 1 ppm
11,0.06,0.22,0.23,0.27,38,42,Acetone 1 ppm
12,0.05,0.22,0.23,0.27,38,42,Acetone 1 ppm
13,0.05,0.22,0.23,0.27,38,42,Acetone 1 ppm
14,0.05,0.22,0.23,0.26,38,42,Acetone 1 ppm
15,0.05,0.21,0.23,0.26,38,42,Acetone 1 ppm
16,0.05,0.21,0.23,0.25,38,42,Acetone 1 ppm
17,0.05,0.21,0.23,0.25,38,42,Acetone 1 ppm
18,0.05,0.21,0.23,0.25,38,42,Acetone 1 ppm
19,0.05,0.21,0.23,0.25,38,42,Acetone 1 ppm
20,0.05,0.2,0.23,0.25,38,42,Acetone 1 ppm
21,0.05,0.2,0.23,0.25,38,42,Acetone 1 ppm
22,0.05,0.2,0.23,0.24,38,42,Acetone 1 ppm
23,0.05,0.2,0.23,0.24,38,42,Acetone 1 ppm
24,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
25,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
26,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
27,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
28,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
29,0.05,0.19,0.23,0.24,38,42,Acetone 1 ppm
30,0.05,0.19,0.23,0.23,38,42,Acetone 1 ppm
31,0.05,0.19,0.23,0.23,38,42,Acetone 1 ppm
32,0.05,0.19,0.23,0.23,38,42,Acetone 1 ppm
33,0.05,0.18,0.23,0.23,38,42,Acetone 1 ppm
34,0.05,0.18,0.23,0.23,38,42,Acetone 1 ppm
35,0.05,0.18,0.23,0.23,38,42,Acetone 1 ppm
36,0.05,0.18,0.23,0.22,38,42,Acetone 1 ppm
37,0.05,0.18,0.23,0.22,38,42,Acetone 1 ppm
38,0.05,0.18,0.23,0.22,38,42,Acetone 1 ppm
39,0.05,0.18,0.23,0.22,38,42,Acetone 1 ppm
40,0.05,0.17,0.23,0.22,38,42,Acetone 1 ppm
41,0.05,0.17,0.23,0.22,38,42,Acetone 1 ppm
42,0.05,0.17,0.23,0.22,38,42,Acetone 1 ppm
43,0.05,0.17,0.23,0.22,38,42,Acetone 1 ppm
44,0.05,0.17,0.23,0.22,38,42,Acetone 1 ppm
45,0.05,0.17,0.23,0.27,38,42,Acetone 1 ppm
46,0.05,0.17,0.23,0.27,38,42,Acetone 1 ppm
47,0.05,0.17,0.23,0.27,38,42,Acetone 1 ppm
48,0.05,0.17,0.23,0.27,38,42,Acetone 1 ppm
49,0.05,0.17,0.23,0.27,38,42,Acetone 1 ppm
50,0.05,0.16,0.23,0.26,38,42,Acetone 1 ppm
51,0.05,0.16,0.23,0.26,38,42,Acetone 1 ppm
52,0.05,0.18,0.23,0.26,38,42,Acetone 1 ppm
53,0.05,0.88,0.23,0.26,38,42,Acetone 1 ppm
