,ID,TGS 826,TGS 822,TGS 2600,TGS 2602,Temperature,Humidity,Class
0,1,0.06,0.24,0.23,0.32,38.0,42.0,Acetone 1 ppm
1,2,0.06,0.24,0.23,0.31,38.0,42.0,Acetone 1 ppm
2,3,0.06,0.24,0.23,0.3,38.0,42.0,Acetone 1 ppm
3,4,0.06,0.24,0.23,0.29,38.0,42.0,Acetone 1 ppm
4,5,0.05,0.24,0.23,0.28,38.0,42.0,Acetone 1 ppm
5,6,0.05,0.23,0.23,0.28,38.0,42.0,Acetone 1 ppm
6,7,0.05,0.23,0.23,0.28,38.0,42.0,Acetone 1 ppm
7,8,0.06,0.23,0.23,0.28,38.0,42.0,Acetone 1 ppm
8,9,0.06,0.22,0.23,0.28,38.0,42.0,Acetone 1 ppm
9,10,0.06,0.22,0.23,0.27,38.0,42.0,Acetone 1 ppm
10,11,0.06,0.22,0.23,0.27,38.0,42.0,Acetone 1 ppm
11,12,0.05,0.22,0.23,0.27,38.0,42.0,Acetone 1 ppm
12,13,0.05,0.22,0.23,0.27,38.0,42.0,Acetone 1 ppm
13,14,0.05,0.22,0.23,0.26,38.0,42.0,Acetone 1 ppm
14,15,0.05,0.21,0.23,0.26,38.0,42.0,Acetone 1 ppm
15,16,0.05,0.21,0.23,0.25,38.0,42.0,Acetone 1 ppm
16,17,0.05,0.21,0.23,0.25,38.0,42.0,Acetone 1 ppm
17,18,0.05,0.21,0.23,0.25,38.0,42.0,Acetone 1 ppm
18,19,0.05,0.21,0.23,0.25,38.0,42.0,Acetone 1 ppm
19,20,0.05,0.2,0.23,0.25,38.0,42.0,Acetone 1 ppm
20,21,0.05,0.2,0.23,0.25,38.0,42.0,Acetone 1 ppm
21,22,0.05,0.2,0.23,0.24,38.0,42.0,Acetone 1 ppm
22,23,0.05,0.2,0.23,0.24,38.0,42.0,Acetone 1 ppm
23,24,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
24,25,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
25,26,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
26,27,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
27,28,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
28,29,0.05,0.19,0.23,0.24,38.0,42.0,Acetone 1 ppm
29,30,0.05,0.19,0.23,0.23,38.0,42.0,Acetone 1 ppm
